title_en,ingredient_en,instruction_en,title_zh,ingredient_zh,instruction_zh,portion,source_link
fried beef with spring onion,"Beef, green onion, garlic, ginger, oyster sauce, sugar, cornstarch, oil, salt, soy sauce, black pepper powder"," 1. Marinate the beef. 2. Chop the ginger and garlic.

Wash and cut the green onions.
Sauté the ginger and green onions until fragrant.
Quickly stir-fry the beef.
Once it starts to change color, add the green onions and stir-fry.
Add the prepared sauce and cook until done.",蔥炒牛肉,"牛肉, 大蔥, 蒜頭, 薑 , 蠔油, 糖, 生粉, 油, 鹽, 生抽, 黑胡椒粉",牛肉醃好，薑蒜切好，大蔥洗乾淨並切斷。爆香薑蔥，將牛肉落鑊快炒。開始變色後加入大蔥翻炒，再加入調好的醬汁，煮熟即可。,2,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/16187234-%E6%B8%AF%E5%BC%8F%E5%AE%B6%E5%B8%B8%E8%8F%9C%E8%94%A5%E7%82%92%E7%89%9B%E8%82%89
Whitebait and Green Onion Omelet Triangles,"Eggs, green onions, dried whitebait, salt, black pepper powder","1 Soak the dried fish in water for 15 minutes, clean thoroughly, and soak 1-2 more times. Drain and set aside.

2 Add chopped green onions and seasoning to the eggs, and mix well.

3 Use a small amount of oil to fry the dried fish until slightly golden, then add more oil and pour in the egg mixture.

4 Once the egg mixture is half set, flip it over. Cook until fragrant.

5 Cooking note: The dried fish is crispy and flavorful, pairing well with the savory eggs. It goes great with rice. Using fresh whitebait can add more flavor and freshness.",銀魚仔蔥花煎蛋角,"雞蛋, 蔥 , 銀魚仔乾, 鹽,  黑胡椒粉","1
魚乾先浸水15分鐘，清洗乾淨，再浸泡多1-2次。瀝乾水備用


2
雞蛋加入蔥花，調味料，攪匀。

3
先用少量油炒香魚乾，炒至微微金黃色，再加適量油，倒入蛋漿。

4
蛋漿半凝固後，可以翻面。煎香即可。

5
煮後感: 魚乾焦香有口感，配上咸香雞蛋，很好配飯吃。如果改用新鮮白飯魚也可，更有風味和鮮味。
",2,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/16168399-%E6%B8%AF%E5%BC%8F%E5%AE%B6%E5%B8%B8%E8%8F%9C%E9%8A%80%E9%AD%9A%E4%BB%94%E8%94%A5%E8%8A%B1%E7%85%8E%E8%9B%8B%E8%A7%92
Braised Chicken Wings with Potatoes,"Chicken wings, potatoes, onion, dark soy sauce, light soy sauce, pepper, sugar, sesame oil","1 Thaw the chicken wings, rinse, and drain. Mix with marinade and let sit for about half an hour.

2 Slice the onion.

3 Cut the potatoes into chunks.

4 Heat a pan over medium heat, add oil, and fry the chicken skin side down. Flip and fry until both sides are colored, then set aside.

5 Heat a pan over medium heat, add oil, and sauté ginger slices and onion. Add potatoes and fry until fragrant.

6 Add the chicken wings, remaining marinade, and a bowl of water.

7 Once the sauce boils, reduce to low heat, cover, and simmer for about 20 minutes.

8 Stir and taste. Adjust seasoning with salt if needed.",薯仔炆雞翼,"雞中翼, 馬鈴薯, 洋蔥, 老抽, 生抽, 胡椒粉, 糖, 麻油","1
雞翼解凍後沖水洗淨、瀝乾
加入醃料拌勻醃約半小時


2
把洋蔥切片


3
把馬鈴薯切塊


4
中火熱鍋加油，先煎皮的一邊，反轉再煎至兩邊上色即可，然後把雞中翼/雞翅夾起待用

5
中火熱鍋加油，炒香薑片及洋蔥後加入馬鈴薯煎香


6
加入雞中翼/雞翅，及剩下的醃料汁和一碗水


7
待醬汁燒開後調較至小火蓋上鍋蓋炖約20分鐘


8
翻炒一下然後試味，可按個人口味加鹽調味",3-二月,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/11428433-%E6%B8%AF%E5%BC%8F%E5%AE%B6%E5%B8%B8%E8%8F%9C%E8%96%AF%E4%BB%94%E7%82%86%E9%9B%9E%E7%BF%BC-%E9%A6%AC%E9%88%B4%E8%96%AF%E9%9B%9E%E7%BF%85
Simple Hong Kong Style Curry Chicken,"Spring chicken, onion, carrot, potato, broccoli, soy sauce, monk fruit sugar, rice wine, curry powder, evaporated milk, cornstarch, water.","1 Cut the spring chicken into pieces and marinate. Peel and chop the onion, carrot, and potato.

2 In an oiled pan, sauté minced garlic, add chicken pieces, and fry until golden on both sides. Remove.

3 Sauté the onion until soft, then add carrot, potato, and curry powder. Stir well.

4 Add evaporated milk, sugar, and chicken. Pour in water to cover 80% of the ingredients, cover, bring to a boil, then reduce to medium-low heat and cook for 20 minutes.

5 Once the chicken is tender, stir in the cornstarch mixture until the curry sauce thickens slightly. Serve with blanched broccoli.",簡易港式咖喱雞,"春雞, 洋葱, 甘荀, 薯仔, 西蘭花, 豉油, 羅漢果糖, 米酒, 咖喱粉, 淡奶, 羅漢果糖, 生粉, 水","1
春雞切件，加醃料醃味。洋葱、甘荀、薯仔去皮切塊。

2
油鍋爆香蒜蓉、加入雞件煎至兩面黃金，取出。

3
洋葱炒至軟身，加入甘荀、薯仔及咖喱粉炒勻。

4
加入淡奶、糖及雞件炒勻，加至蓋過材料8成滿的水，蓋上鍋蓋，煮沸後調至中小火煮20分鐘。

5
雞肉煮腍後，邊攪拌邊加入拌勻的生粉水，至咖喱汁略稠，即可上碟，伴以燙熟西蘭花即成。",4,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/16081411-%E7%B0%A1%E6%98%93%E6%B8%AF%E5%BC%8F%E5%92%96%E5%96%B1%E9%9B%9E
Hong Kong Style Steamed Pork and Egg,"Eggs, water, minced meat, soy sauce, salt, green onions","1
Add minced meat with a little soy sauce, place it at the bottom of the container and spread it evenly. Beat three eggs, add water using half an eggshell as a measure, and add it 12 times!! Also, add a little salt (egg: water = 1:2)

2
Strain the egg mixture into the container

3
Steam the eggs! If using an electric cooker, use about 2 cups of water. If using a pot, keep an eye on it ⚠️, steam for about 30 minutes, add chopped green onions, and serve!",港式豬肉蒸水蛋,"蛋, 水, 碎肉, 醬油, 鹽, 蔥","1
將碎肉加入少許醬油，放置容器底層鋪平。雞蛋🥚三顆打散，加入水，蛋殼一半當容器，加入12次！！ 並加入少許鹽 （雞蛋：水=1 ： 2）
2
將蛋液過塞倒入容器
3
蒸蛋囉！如果用電鍋大約2杯水，用鍋子就隨時注意⚠️即可，大約蒸30分鐘，加入蔥花，即可上桌！",3-二月,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12688305-%E6%B8%AF%E5%BC%8F%E8%B1%AC%E8%82%89%E8%92%B8%E6%B0%B4%E8%9B%8B-%E7%A2%8E%E8%82%89%E8%92%B8%E8%9B%8B
Hong Kong Style Scallop Egg White Fried Rice," Cold rice, Dried scallops, Choy sum stems, Egg whites, Garlic, Coriander, Seasoning, Oil, Salt, Pepper, Sesame oil, Rice wine"," 1
Cut the choy sum stems/kale stems into small pieces, mince the garlic, and slice the cilantro. Use only the egg whites.

2
Rinse the dried scallops and soak them in water for 30 minutes. Steam them for 30 minutes, then shred the scallops and reserve the steaming liquid.

3
Heat a pan with 3 teaspoons of oil, add the egg whites, and stir-fry until set. Remove and set aside.

4
In the same pan, add 1 teaspoon of tea oil, sauté the minced garlic until fragrant, then add the choy sum pieces and stir-fry until half-cooked. Remove and set aside.

5
In the same pan, add the rice and gradually mix in the reserved scallop steaming liquid. Stir-fry the rice until each grain is separate and the rice becomes elastic after absorbing the liquid. Add all the ingredients back into the pan, including the choy sum, egg whites, and shredded scallops. Stir-fry until well combined. Finally, season with a little salt, pepper, 1 teaspoon of sesame oil, and 2 teaspoons of rice wine. Mix well, taste, and garnish with cilantro before serving.",港式瑤柱蛋白炒飯,"冷飯, 乾瑤柱, 菜心莖, 蛋白, 蒜頭, 芫荽, 調味料, 油, 鹽, 胡椒粉, 麻油, 米酒","1
菜心莖/芥蘭莖切粒備用，蒜頭去衣切幼粒備用，芫茜切絲，雞蛋只要蛋白液。

2
乾瑤柱洗淨浸水30分鐘，隔水蒸30分鐘，將瑤柱取出搣絲，留蒸瑤柱的汁備用。

3
燒熱鑊下油3茶匙，下蛋白炒至凝固，盛起

4
熱油鑊下一茶匙茶油，下蒜蓉爆香後下菜心粒略炒至半熟盛起備用。

5
原油鑊下白飯，逐少加入適量蒸瑤柱的汁炒白飯，將白飯用鑊鏟炒鬆，粒粒分明，冷飯吸收瑤柱汁後變得有彈性後;之後將全部配料倒入鑊中，包括菜心粒，蛋白，瑤柱絲，炒至均勻。 最後下調味，鹽少許，胡椒粉少許，麻油一茶匙，米酒兩茶匙，炒勻試味後盛起用芫茜絲點綴便完成。
",/,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/2079304-%E6%B8%AF%E5%BC%8F%E7%91%A4%E6%9F%B1%E8%9B%8B%E7%99%BD%E7%82%92%E9%A3%AF
Salted Fish and Chicken Fried Rice,"Chicken fillet, salted fish, rice, water, eggs, carrot, celery, onion","1
Prepare cold rice (2 cups of rice, 2 cups of water)

2
Cut chicken fillets into small pieces and marinate for at least 15 minutes. Dice the radish, celery, onion, and salted fish

3
Boil the radish pieces until cooked, then set aside

4
Add the chicken pieces and salted fish to the pan, stir-fry until the liquid is reduced. Then add the radish, celery, and onion pieces and stir-fry until cooked. Set aside

5
Add the beaten eggs, then the cold rice, and stir-fry until the eggs coat the rice. Add back the other ingredients",鹹魚雞粒炒飯,"雞柳, 鹹魚, 米, 水, 雞蛋, 蘿蔔, 西芹, 洋蔥","1
先備冷飯 （2杯米，2杯水）

2
雞柳切粒，醃15分鐘以上。蘿蔔、西芹、洋蔥及 鹹魚切粒；

3
開水煮熟蘿蔔粒，備用

4
落雞柳粒及鹹魚粒，炒至收水。後加蘿蔔、西芹、洋蔥粒炒熟。備用。

5
落蛋漿，再下冷飯炒，炒至蛋漿包著飯粒，放回其他配料。",3,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/17216751-%E9%B9%B9%E9%AD%9A%E9%9B%9E%E7%B2%92%E7%82%92%E9%A3%AF
Stir-Fried Water Spinach with Beef Slices,"Water spinach, beef slices, minced garlic, chicken powder, cornstarch, chili, water","1
Rinse the beef slices with water, add a little chicken powder, and mix in cornstarch. Stir-fry until half-cooked, then remove and set aside

2
Slice the chili peppers and mince the garlic, sauté until fragrant. Add the vegetable stems first and stir-fry until soft, then add the leaves. Season with chicken powder and stir-fry until cooked

3
Add the half-cooked beef slices back into the pan, quickly stir-fry, and serve immediately",空心菜炒牛肉片,"空心菜, 牛肉片, 蒜末, 雞粉, 太白粉,  辣椒,  水","1
牛肉片用水洗一下，調入少許雞粉，拌入太白粉，下鍋炒至半熟，盛盤備用
2
辣椒切圈和蒜末爆香，菜梗先下鍋炒軟，再炒菜葉，再加入適量雞粉調味炒熟
3
倒入半熟肉片，快速翻炒起鍋盛盤，即可上桌
",5,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/22603783-%E7%A9%BA%E5%BF%83%E8%8F%9C%E7%82%92%E7%89%9B%E8%82%89%E7%89%87?ref=search&search_term=%E7%89%9B%E8%82%89
Homemade Braised Chicken Drumsticks,"Chicken drumsticks, garlic, ginger, green onions, star anise, cotton tofu, braising sauce, soy sauce, rice wine, palm sugar or brown sugar","1
Clean and dry the chicken thighs, slice the ginger, crush the garlic, and cut the green onions into sections. Add a little oil to the pan and sauté the green onions, ginger, and garlic until fragrant. Score the back of the chicken thighs. If the pan is small, cut the smaller thighs into pieces

2
Pour soy sauce and rice wine into the pan, and add sugar. Place the chicken thighs skin-side down and bring the soy sauce to a simmer until it bubbles. Cook until the chicken skin is colored, then flip and cook a bit more

Add enough boiling water to cover the chicken thighs and add star anise. Rinse the cotton tofu with boiling water, cut it into 6 pieces, and place on top of the chicken thighs. Cover and simmer on low heat for 20 minutes, remembering to flip the tofu into the sauce halfway through

After 20 minutes, uncover and taste the sauce for adjustments. If it's not salty enough, you can reduce the sauce over high heat until slightly thickened. Once done, plate and sprinkle with chopped green onions.",家常滷雞腿,"大雞腿, 蒜頭, 薑, 蔥, 八角, 木棉豆腐, 滷汁, 甘田醬油, 米酒, 棕梠糖或二砂","1
雞腿洗淨瀝乾、薑切片，蒜頭拍扁，蔥洗淨切段；鍋中放少許油，下蔥段、薑片和蒜頭煎香；雞腿背面劃刀，因爲鍋小，所以把小雞腿分切下來；

2
鍋裡倒入好醬油和米酒，並加入糖；雞皮朝下放入雞腿，將醬油煮滾到起小泡泡；煮到雞皮上色，翻面再煮一下；

加入開水淹過雞腿，並加入八角；木棉豆腐先用滾水沖洗過，然後切成6塊，擺在雞腿上；蓋鍋小火滷煮20分鐘，期間記得開蓋將豆腐翻面，泡入滷汁中；

20分鐘後，開蓋試滷汁做微調，如果覺得鹹度不夠，也可以開大火收汁到略黏稠即可；出鍋裝盤後撒上蔥花。",2,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/17144274-%E5%AE%B6%E5%B8%B8%E6%BB%B7%E9%9B%9E%E8%85%BF?ref=search&search_term=%E9%A6%99%E6%B8%AF%E5%AE%B6%E5%B8%B8%E8%8F%9C
Stir-Fried Beef with Onions," Beef slices, onion, soy sauce, oyster sauce, black peppercorns, cornstarch, salt, black peppercorns, cornstarch slurry","1
Mix the beef slices with the marinade and let it marinate for 10 minutes

2
Heat oil in a pan, add the beef, and stir-fry until half-cooked. Remove and set aside

3
Add the onion slices and stir-fry until soft

4
Add the beef back in along with the seasoning

5
Thicken with cornstarch slurry

6
Remove from the pan and it's ready to serve",洋蔥炒牛肉,"牛肉片, 洋蔥, 醬油, 蠔油,  黑胡椒粒, 太白粉, 鹽, 黑胡椒粒, 太白粉水 ","1
牛肉片+醃料抓勻，醃製10分鐘


2
起鍋加油，倒入牛肉炒半熟，起鍋備用

3
加入洋蔥絲炒軟

4
加入牛肉、調味料


5
用太白粉水勾芡一下


6
撈起就完成囉",1,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/24016587-%E6%B4%8B%E8%94%A5%E7%82%92%E7%89%9B%E8%82%89?ref=search&search_term=%E7%89%9B%E8%82%89
